port_id,port_name,country_code,water_body,latitude,longitude
420,Neskaupstadur,Iceland,Norwegian Sea; North Atlantic Ocean,65.15,-13.683333
28890,Lubeck,Germany,Baltic Sea; North Atlantic Ocean,53.883333,10.7
30160,Kolding,Denmark,Kattegat; North Atlantic Ocean,55.483333,9.5
28870,Wismar,Germany,Baltic Sea; North Atlantic Ocean,53.9,11.466667
28620,Ventspils,Latvia,Baltic Sea; North Atlantic Ocean,57.4,21.533333
28920,Heiligenhafen,Germany,Baltic Sea; North Atlantic Ocean,54.366667,10.983333
24790,Degerhamn,Sweden,Baltic Sea; North Atlantic Ocean,56.35,16.416667
29830,Svendborg,Denmark,Baltic Sea; North Atlantic Ocean,55.066667,10.616667
28640,Liepaja,Latvia,Baltic Sea; North Atlantic Ocean,56.516667,21.016667
28950,Eckernforde,Germany,Baltic Sea; North Atlantic Ocean,54.483333,9.833333
30060,Sonderborg,Denmark,Baltic Sea; North Atlantic Ocean,54.916667,9.783333
605,Gronnedal (Kangilinnguit),Greenland,Labrador Sea; North Atlantic Ocean,61.233333,-48.1
28654,Butinge Oil Terminal,Lithuania,Baltic Sea; North Atlantic Ocean,56.033333,20.95
105,Grundartangi,Iceland,North Atlantic Ocean,64.266667,-22
100,Reykjavik,Iceland,North Atlantic Ocean,64.15,-21.933333
810,Illulissat (Jakobshavn),Greenland,Baffin Bay; Arctic Ocean,69.216667,-51.1
29790,Marstal,Denmark,Baltic Sea; North Atlantic Ocean,54.916667,10.333333
760,Aasiaat,Greenland,Baffin Bay; Arctic Ocean,68.71083333,-52.86833333
29005,Flensburg,Germany,Baltic Sea; North Atlantic Ocean,54.8,9.433333
29930,Assens,Denmark,Baltic Sea; North Atlantic Ocean,55.266667,9.883333
29910,Middelfart,Denmark,Kattegat; North Atlantic Ocean,55.5,9.733333
28530,Roomassaare,Estonia,Gulf of Riga; Baltic Sea; North Atlantic Ocean,58.21504,22.50695
29630,Nykobing,Denmark,Baltic Sea; North Atlantic Ocean,54.766667,11.866667
480,Hornafjordur,Iceland,North Atlantic Ocean,64.25,-15.233333
840,Qeqertarsuaq,Greenland,Baffin Bay; Arctic Ocean,69.233333,-53.533333
80,Hafnarfjordur,Iceland,North Atlantic Ocean,64.066667,-21.95
30120,Haderslev,Denmark,Baltic Sea; North Atlantic Ocean,55.25,9.5
28840,Sassnitz,Germany,Baltic Sea; North Atlantic Ocean,54.516667,13.65
28860,Rostock,Germany,Baltic Sea; North Atlantic Ocean,54.1,12.133333
28660,Klaipeda,Lithuania,Baltic Sea; North Atlantic Ocean,55.716667,21.116667
29760,Rudkobing,Denmark,Baltic Sea; North Atlantic Ocean,54.95,10.716667
28605,Salacgriva,Latvia,Gulf of Riga; Baltic Sea; North Atlantic Ocean,57.7,24.366667
29880,Odense,Denmark,Kattegat; North Atlantic Ocean,55.416667,10.383333
29940,Faborg,Denmark,Baltic Sea; North Atlantic Ocean,55.1,10.25
29230,Kobenhavn,Denmark,Baltic Sea; North Atlantic Ocean,55.7,12.616667
170,Thingeyri,Iceland,Denmark Strait; North Atlantic Ocean,65.883333,-23.483333
29860,Nyborg,Denmark,Baltic Sea; North Atlantic Ocean,55.316667,10.8
29870,Kerteminde,Denmark,Kattegat; North Atlantic Ocean,55.45,10.666667
640,Nuuk,Greenland,Labrador Sea; North Atlantic Ocean,64.183333,-51.75
28955,Kappeln,Germany,Baltic Sea; North Atlantic Ocean,54.666667,9.933333
310,Akureyri,Iceland,Greenland Sea; Arctic Ocean,65.683333,-18.083333
29110,Ronne,Denmark,Baltic Sea; North Atlantic Ocean,55.1,14.7
250,Saudarkrokur,Iceland,Greenland Sea; Arctic Ocean,65.75,-19.666667
190,Isafjordur,Iceland,Denmark Strait; North Atlantic Ocean,66.066667,-23.116667
24690,Oskarshamn,Sweden,Baltic Sea; North Atlantic Ocean,57.266667,16.45
30190,Vejle,Denmark,Kattegat; North Atlantic Ocean,55.716667,9.55
185,Bolungarvik,Iceland,Denmark Strait; North Atlantic Ocean,66.166667,-23.233333
560,Nanortalik Havn,Greenland,Labrador Sea; North Atlantic Ocean,60.116667,-45.2
690,Sisimiut,Greenland,Davis Strait; North Atlantic Ocean,66.916667,-53.7
260,Siglufjorhurd,Iceland,Greenland Sea; Arctic Ocean,66.15,-18.916667
585,Narsaq,Greenland,Labrador Sea; North Atlantic Ocean,60.916667,-46.05
430,Eskifjordhur,Iceland,North Atlantic Ocean,65.066667,-14.016667
670,Maniitsoq,Greenland,Labrador Sea; North Atlantic Ocean,65.416667,-52.916667
